Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
A0A075B6I0,1,,IGLV8-61,23.161066680977278,22.515437669721813,21.629008061794327,23.181670409609815,21.393624220247755,23.37972313492271,22.360834632367148,23.541786543034284,21.74573780041471,20.047171590690752,22.415418040446664,23.712023321804452,21.614357593281706,22.82524188183691,20.738584577807483,23.83545596778779,23.269055644697712,22.69245610993239,21.32864283521726,23.230462842523295,5,1.18840120463988,0.570602437903216,0.734928646267111,0.576357734137116,False
A0A075B6J9,3,,IGLV2-18,20.948782107795427,23.806193496621145,23.352792766130428,21.796709688117986,21.890661852662426,23.232424692948463,20.03626038949782,19.005476659354283,21.714295278171083,21.098850867941753,20.986454688798243,23.261249906949285,21.94746945059454,21.099540124446612,22.722232565420367,22.38625472130021,23.018872356230677,22.076801663101136,23.572187731274322,22.518879266806216,9,1.19488487951065,0.184855617292877,0.53240815837221,1.3717689822207,False
A0A075B6K0,3,,IGLV3-16,22.98522888652943,22.63853762605494,21.373143722595184,24.25682602202247,22.06699845971837,22.912754494255665,19.638743567901056,22.13153119395944,22.594599359129504,20.15435952118314,22.695933123315218,23.95406360517397,20.67439190497679,21.469638138994988,17.962430524260384,20.79339587274103,20.640504975601203,20.908804978774807,22.720651600704475,20.649600649027114,0,0.666537194808466,0.201465202785493,0.544755748559004,-1.31943700365513,False
A0A075B6K4,3,,IGLV3-10,22.085753341069335,22.564280400733075,21.653871527038547,22.67433512784597,22.953938918294817,22.138839592892168,23.158921846815392,23.806688235499298,23.64107819785397,22.496313883899667,22.378166564635098,20.12694822703714,22.780690002980993,22.920725553399034,20.964531630900705,21.68679901469625,22.734100711521236,22.580377147557524,22.92436694813044,21.744965956295193,2,0.678914168807744,0.0960163369714253,0.427035242132537,-1.74406142167842,False
A0A075B6S6,2,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,26.4712431900555,26.229447163658836,25.92942502406567,27.092440210027597,26.361145463805265,26.420663109372125,25.091198052208377,26.140555479811415,25.686151130897755,25.671339608236046,26.987397142780356,26.303698955493367,25.63560682122533,26.72899292079147,25.201014787067624,26.81722565167367,25.839060910120775,26.352572002248813,27.413549092814854,26.808402542348034,0,1.26712005508721,0.238981699019647,0.580032472190133,1.21257590087812,False
A0A0A0MRZ8,3,Ig kappa chain V-III region VG,IGKV3D-11,25.25804257617339,25.887956572219327,24.544018238534925,25.476415278537477,24.78439544229383,25.53447610384084,24.98947275113952,25.170781893322314,25.08920364929388,23.851898085546196,24.968361895089547,24.228340158075184,23.784383535430084,25.867514600248228,24.498755819495855,26.541207838163665,25.110497898920165,23.436884786800633,26.229146221397524,26.964043227700547,0,1.35916092479574,0.784334672154021,0.811450985241191,0.277262930951839,False
A0A0A0MS15,2,,IGHV3-49,21.205878453175107,22.138977825256493,20.84306235702286,21.994556867698318,20.239235208315783,23.10746403795379,23.160854355938383,22.774416416760292,22.52102145109652,22.263506358865666,23.644878760747012,23.68355627424151,22.871593488995416,22.988950475934235,21.546194908914813,23.099946170960944,23.415200343089627,22.4817313052239,22.86350437967408,21.460162170582834,4,1.61247667511413,0.0293200970827833,0.27325797600272,2.34155809835712,False
A0A0B4J1V0,3,,IGHV3-15,22.606163137801076,23.18636754219161,20.891148786508897,23.3947113738721,20.588402490657725,19.01380286494513,20.619515514685084,20.408838668971214,22.81968843810595,21.065919898149673,22.05021021504685,21.16543672496628,22.144147076328384,22.43537928267075,21.01530274560499,22.248956006771337,21.79424177799506,21.81032612284327,23.308527546141146,23.04108063532646,1,1.1565973040644,0.17317911064367,0.523299809327203,1.41083914689868,False
A0A0B4J1V6,3,,IGHV3-73,21.225669178527347,21.454661145961303,21.16502522222745,20.68153920625949,21.774206861850843,21.381593394320245,21.007656738627027,22.071916084891278,21.916466256746887,20.325136196942346,20.457311953412038,22.69167555973619,22.345636074764958,20.139999405957667,21.149530313461348,22.181459533668647,17.254256453274305,20.135766185627325,22.676792629032175,21.355056078485532,9,1.18241792507282,0.632109493662707,0.7585186811081,-0.485963581199361,False
A0A0B4J1X5,4,Ig heavy chain V-III region BUT,IGHV3-74;IGHV3-66,25.32995509589792,25.444963525247566,25.762798911391172,26.502089837960956,26.11253936298802,25.284415908455905,25.02915547796242,25.605454293599962,25.663813464375174,24.913597797055537,27.005470251506004,25.413495223811264,25.106614410067603,26.191045059646907,24.638983980582328,26.90944744587724,25.780779170505255,25.863041494691906,26.981544164594993,26.766740526156546,0,1.54729262225279,0.0737294422628559,0.399711771208085,1.88394797439153,False
