Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
A0A075B6I0,1,,IGLV8-61,23.27331141318027,22.627682401924805,21.74125279399732,23.293915141812807,21.505868952450747,23.267478402719718,22.248589900164156,23.429541810831292,21.633493068211717,19.93492685848776,22.527662772649656,23.824268054007444,21.7266023254847,22.9374866140399,20.850829310010475,23.7232112355848,23.15681091249472,22.5802113777294,21.216398103014267,23.118218110320303,5,1.18840120463988,0.570602437903216,0.734928646267111,0.576357734137116,False
A0A075B6J9,3,,IGLV2-18,20.791192956749903,23.64860434557562,23.195203615084903,21.63912053707246,21.7330727016169,23.390013843993987,20.193849540543344,19.163065810399807,21.871884429216607,21.256440018987277,20.82886553775272,23.10366075590376,21.789880299549015,20.941950973401088,22.564643414374842,22.543843872345736,23.1764615072762,22.23439081414666,23.729776882319847,22.67646841785174,9,1.19488487951065,0.184855617292877,0.53240815837221,1.3717689822207,False
A0A075B6K0,3,,IGLV3-16,22.638616596511216,22.291925336036726,21.02653143257697,23.910213732004255,21.720386169700156,23.25936678427388,19.98535585791927,22.478143483977654,22.941211649147718,20.500971811201353,22.349320833297003,23.607451315155757,20.327779614958576,21.123025848976773,17.61581823424217,21.140008162759244,20.987117265619418,21.25541726879302,23.06726389072269,20.99621293904533,0,0.666537194808466,0.201465202785493,0.544755748559004,-1.31943700365513,False
A0A075B6K4,3,,IGLV3-10,22.376213853130658,22.854740912794398,21.94433203909987,22.964795639907294,23.24439943035614,21.848379080830846,22.86846133475407,23.516227723437975,23.35061768579265,22.205853371838344,22.66862707669642,20.417408739098462,23.071150515042316,23.211186065460357,21.254992142962028,21.396338502634926,22.443640199459914,22.2899166354962,22.63390643606912,21.45450544423387,2,0.678914168807744,0.0960163369714253,0.427035242132537,-1.74406142167842,False
A0A075B6S6,2,Ig kappa chain V-II region RPMI 6410,IGKV2D-30,26.436258485093543,26.19446245869688,25.894440319103712,27.05745550506564,26.326160758843308,26.455647814334082,25.126182757170334,26.17554018477337,25.721135835859712,25.706324313198003,26.9524124378184,26.26871425053141,25.600622116263374,26.694008215829513,25.166030082105667,26.852210356635627,25.874045615082732,26.38755670721077,27.44853379777681,26.84338724730999,0,1.26712005508721,0.238981699019647,0.580032472190133,1.21257590087812,False
A0A0A0MRZ8,3,Ig kappa chain V-III region VG,IGKV3D-11,25.439013993174765,26.0689279892207,24.724989655536298,25.65738669553885,24.965366859295205,25.353504686839468,24.808501334138146,24.98981047632094,24.908232232292505,23.670926668544823,25.14933331209092,24.409311575076558,23.965354952431458,26.0484860172496,24.67972723649723,26.36023642116229,24.929526481918792,23.25591336979926,26.04817480439615,26.783071810699173,0,1.35916092479574,0.784334672154021,0.811450985241191,0.277262930951839,False
A0A0A0MS15,2,,IGHV3-49,21.505424571667334,22.43852394374872,21.142608475515086,22.294102986190545,20.53878132680801,22.807917919461563,22.861308237446156,22.474870298268065,22.221475332604292,21.96396024037344,23.94442487923924,23.983102392733738,23.171139607487643,23.288496594426462,21.84574102740704,22.800400052468717,23.1156542245974,22.182185186731672,22.563958261181853,21.160616052090607,4,1.61247667511413,0.0293200970827833,0.27325797600272,2.34155809835712,False
A0A0B4J1V0,3,,IGHV3-15,22.43884454271536,23.019048947105894,20.72383019142318,23.22739277878638,20.421083895572007,19.181121460030848,20.7868341097708,20.57615726405693,22.987007033191666,21.23323849323539,21.882891619961132,20.998118129880563,21.976828481242666,22.26806068758503,20.847984150519274,22.416274601857054,21.96156037308078,21.97764471792899,23.475846141226864,23.208399230412176,1,1.1565973040644,0.17317911064367,0.523299809327203,1.41083914689868,False
A0A0B4J1V6,3,,IGHV3-73,21.086711410000206,21.31570337743416,21.026067453700307,20.54258143773235,21.6352490933237,21.520551162847386,21.14661450715417,22.21087385341842,22.05542402527403,20.464093965469488,20.318354184884896,22.552717791209048,22.206678306237816,20.001041637430525,21.010572544934206,22.32041730219579,17.393214221801447,20.274723954154467,22.815750397559317,21.494013847012674,9,1.18241792507282,0.632109493662707,0.7585186811081,-0.485963581199361,False
A0A0B4J1X5,4,Ig heavy chain V-III region BUT,IGHV3-74;IGHV3-66,25.39445680010668,25.509465229456328,25.827300615599935,26.566591542169718,26.177041067196782,25.219914204247143,24.964653773753657,25.5409525893912,25.59931176016641,24.849096092846775,27.069971955714767,25.477996928020026,25.171116114276366,26.25554676385567,24.70348568479109,26.84494574166848,25.716277466296493,25.798539790483144,26.91704246038623,26.702238821947784,0,1.54729262225279,0.0737294422628559,0.399711771208085,1.88394797439153,False
A0A0B4J1Y9,4,,IGHV3-72,25.117591168263424,24.71135041042801,23.738056861576986,24.541808477946606,24.890385809028867,24.41838679867557,23.45653387895054,23.96444076522917,23.88992295985875,23.42382759795623,24.472218470643273,24.45758361348596,24.526440610415975,24.38653675707757,22.86085431515886,25.23058265824011,24.267248260280986,24.37025210301826,25.753650388250996,24.927981083564845,0,1.26043637579267,0.245380781663622,0.58311339070537,1.19565420182993,False
A0A0C4DH25,3,,IGKV3D-20,23.824636183912947,23.456705510733194,22.743168256059768,21.94270790578149,22.90664296492873,22.740013448930366,22.143948119841447,22.625511951082544,22.873023341800547,21.552159537719337,24.360249783418652,22.23588629755748,22.06794951256138,23.867873778489347,21.762717075132752,23.64640636453886,22.602944710551565,23.325909791901182,24.206050498371518,23.45256950383836,1,1.54619843785997,0.193892242386496,0.539227987617833,1.34285787158442,False
A0A0C4DH34,1,,IGHV4-28,21.672410423120223,23.064852386013847,22.342464936447854,22.71863246988602,21.243599454321295,23.140654736085274,21.5666806786801,21.057877294174517,22.926977885633935,22.099719489697353,22.257770523201277,22.241113370358406,22.12637701839643,21.795366163827595,21.982762373808026,22.25897120012234,21.392847821627765,21.822266451611593,23.255952032615237,21.923401529132857,7,0.879476532151322,0.811957995622515,0.813589620325639,-0.240965595225862,False
A0A0C4DH38,3,,IGHV5-51,22.796647866346188,23.288427149262386,22.195313989876777,24.121317460830277,23.40071108418878,23.672746369072943,21.584749763729853,23.836270606505774,23.11297999261029,22.91947410540431,23.167263257248027,23.757884729117233,22.567967352101533,23.563891656856136,22.018737418828895,24.308508168281374,21.433684469538417,23.183125598084473,23.672081693480788,23.154541197947935,1,1.04101358660667,0.978684371649957,0.843797505224354,-0.0270438778696699,False
A0AVT1,11,Ubiquitin-like modifier-activating enzyme 6,UBA6,22.579297267495065,22.471990606553735,22.638873529784764,22.267488315858017,22.40799437375826,21.898704187527624,22.02484412445123,20.22276703917517,22.03525426815352,22.267561783090187,22.19230998595903,20.70305762195728,21.191546626871006,22.722820392688906,21.235339273723316,21.79501495323073,23.02156865675931,22.465412144235778,22.71516433367139,21.964426504354375,1,1.08005509306894,0.797055343929053,0.812593916944395,-0.260503431021555,False
A0FGR8,8,Extended synaptotagmin-2,ESYT2,22.67941291919849,19.1287175751576,23.49250873281536,22.917451235321092,20.994777927030093,21.95375385700433,22.273568793134512,22.136316298752725,22.214731780796974,22.6209502413413,23.75256050597046,22.079548805582025,22.586761364288858,22.73045588614439,22.6515377897863,22.751110987722694,22.313626066281,22.560741814500673,22.10173413169131,22.087198770069115,0,1.18316553843539,0.225391208852258,0.567386468521056,1.24968876439981,False
A1L0T0,9,Acetolactate synthase-like protein,ILVBL,21.601240553769625,22.863256165405925,21.62413273374123,22.841215244501882,21.982538890481894,22.04407016884894,21.584206250219847,20.950460585173275,22.660935884004797,22.734864275942364,21.090491972649776,21.55293523344867,22.706885226837436,23.57488791568143,22.004208285275773,22.341439828002226,22.899739718718134,22.933962436702444,21.580388509563978,22.11172456461764,0,1.1968291768398,0.584638938869718,0.743198187245657,0.555324205498571,False
A6NHL2,4,Tubulin alpha chain-like 3,TUBAL3,22.134098048461862,21.730185183754514,22.727359659506448,22.52026140912668,22.56821723997247,22.13888410586483,22.52124954555798,21.92597871494178,22.467385546293162,22.403942851314298,22.306568923283518,22.211587458533213,22.263242748338882,22.03131144391088,21.895491499677767,21.677711052936335,22.430620351444315,22.6233265516294,21.903739863702935,22.295485030881192,3,0.899970978325018,0.496376750729143,0.709261894965122,-0.692435837771493,False
A8K0Z3,2,WAS protein family homolog 1;Putative WAS protein family homolog 4;Putative WAS protein family homolog 3;WAS protein family homolog 2,WASH1;WASH4P;WASH3P;WASH2P,19.075163803042397,19.788359434596824,18.474209957131656,20.569982978033813,11.825333573592767,18.28852778889989,18.74095024920475,19.438858341883233,18.987473030160682,19.423110366936964,20.033880577460984,17.833712624134407,20.859597898823935,19.82300454130381,20.321296848294583,18.506394049340493,18.755763018584716,17.92846128359433,19.980658446521147,18.554345661288952,11,1.21635341535481,0.306385136874855,0.613768740516,1.04881084735993,False
Q99613,6,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,22.07430413465495,20.557095503620797,22.39452217893006,21.962840664696184,22.833967957946935,21.851577956883393,22.463959088544318,19.44464286016406,22.90227059130275,22.455339052093933,20.518583867235304,20.740309657171558,21.474923541521896,20.713855866535113,22.584459290739495,21.971839904394756,20.991009824462484,22.234522144782176,21.73338007078217,19.806321169642228,5,0.636609823714879,0.183610238965879,0.53240815837221,-1.37584070161854,False
B9A064,7,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions,IGLL5;IGLC1,30.041951845296136,30.487972981612792,30.151160914860117,31.30295980266138,30.680344981454102,29.992889643328176,29.85105869352884,30.339674031326545,30.19885322654068,29.873874759072812,30.69627842113198,29.847456376542347,29.14299693478482,30.35409402169764,29.861963409434217,30.842604342084655,30.020533710567125,30.317581490723754,30.674696377521897,30.455413414781063,0,1.01086266122676,0.704826173545833,0.785121265036417,-0.384106190523897,False
CON__P00761,8,,,30.549492639729554,30.076942970689426,31.262726447959174,30.629119878465364,31.608317394639492,31.14516306949884,30.83669496110863,30.6815018487894,30.928523520468918,30.68492105538584,31.166983597588796,30.58456575515079,31.605253631788223,29.18011839721347,30.810397965825718,30.09584746806801,30.916142441188057,30.570470449216113,31.2198685552133,30.394785310112905,0,0.930249962067059,0.459538467772225,0.69086707470759,-0.753697590620537,False
