sample_id,group,batch,original_column,sample_number
NDM_B1_01,NDM,B1,Abundance.NDM_B1_1,1
NDM_B1_02,NDM,B1,Abundance.NDM_B1_2,2
NDM_B1_03,NDM,B1,Abundance.NDM_B1_3,3
NDM_B1_04,NDM,B1,Abundance.NDM_B1_4,4
NDM_B1_05,NDM,B1,Abundance.NDM_B1_5,5
NDM_B2_06,NDM,B2,Abundance.NDM_B2_6,6
NDM_B2_07,NDM,B2,Abundance.NDM_B2_7,7
NDM_B2_08,NDM,B2,Abundance.NDM_B2_8,8
NDM_B2_09,NDM,B2,Abundance.NDM_B2_9,9
NDM_B2_10,NDM,B2,Abundance.NDM_B2_10,10
DM_B1_11,DM,B1,Abundance.DM_B1_11,11
DM_B1_12,DM,B1,Abundance.DM_B1_12,12
DM_B1_13,DM,B1,Abundance.DM_B1_13,13
DM_B1_14,DM,B1,Abundance.DM_B1_14,14
DM_B1_15,DM,B1,Abundance.DM_B1_15,15
DM_B2_16,DM,B2,Abundance.DM_B2_16,16
DM_B2_17,DM,B2,Abundance.DM_B2_17,17
DM_B2_18,DM,B2,Abundance.DM_B2_18,18
DM_B2_19,DM,B2,Abundance.DM_B2_19,19
DM_B2_20,DM,B2,Abundance.DM_B2_20,20
