sample,observed_count,median,mean,standard_deviation,skewness,missing_percent
NDM_B1_01,1965,7826429.19632054,219711112.24253225,3533225005.1253543,34.32802289965178,0.0
NDM_B1_02,1965,8424518.30793916,218519916.4750635,2882641749.053563,24.302568042382877,0.0
NDM_B1_03,1965,7154113.90430886,268561937.5121265,4366467528.622136,26.425648525966267,0.0
NDM_B1_04,1965,8242443.85322268,200097955.1827482,2926580181.164714,33.13651678303821,0.0
NDM_B1_05,1965,6658875.7040252,282499169.4780932,4764731141.68946,27.905578146971564,0.0
NDM_B2_06,1965,8956279.58675457,288776589.6671171,4401548182.570538,25.111124587010348,0.0
NDM_B2_07,1965,9854381.0521878,285799153.8247044,4489409381.370348,26.913193796474083,0.0
NDM_B2_08,1965,9698036.27768079,270274217.3935414,4087793641.5052524,25.27491241754783,0.0
NDM_B2_09,1965,10817698.9286677,234762214.32555667,3264335115.7325425,25.720175319135596,0.0
NDM_B2_10,1965,11417805.8884607,229637067.94268906,3272592385.39376,25.201151668374685,0.0
DM_B1_11,1965,6788590.67898057,250122657.50400937,4119989841.6571,27.163647410930604,0.0
DM_B1_12,1965,6709205.78416429,227027883.48780808,3412221456.1906295,28.43720479622833,0.0
DM_B1_13,1965,6602408.78579734,167363922.74612382,2708028261.7249885,36.91125356800499,0.0
DM_B1_14,1965,10036156.6327198,273847278.52381665,4151614744.5903244,24.88850028436982,0.0
DM_B1_15,1965,8627816.78154874,190048748.4434348,3158377318.783522,38.76648683109783,0.0
DM_B2_16,1965,9489815.99231858,249430812.64103693,3433778318.79289,24.91948131724888,0.0
DM_B2_17,1965,9717124.61992797,290442883.91911644,4482077957.118342,25.661482539474054,0.0
DM_B2_18,1965,9958257.95340795,273891994.8675996,3991277384.6535025,24.653660360481364,0.0
DM_B2_19,1965,9659492.17308736,270418951.757863,4023600149.8690815,26.964282850654694,0.0
DM_B2_20,1965,9606637.5023084,236091691.8519675,3127962993.1425676,24.86311320053852,0.0
