sample,PC1,PC2,group,batch
NDM_B1_01,-54827228342.59491,19371145655.029675,NDM,B1
NDM_B1_02,-4954778.425967224,-43095864810.56231,NDM,B1
NDM_B1_03,16358192411.334398,29721735272.22971,NDM,B1
NDM_B1_04,-57193925839.269516,-7847454744.427955,NDM,B1
NDM_B1_05,10454871229.36874,53825965519.8671,NDM,B1
NDM_B2_06,33343298863.61687,17930729752.823563,NDM,B2
NDM_B2_07,69036460051.26347,-19770224516.58402,NDM,B2
NDM_B2_08,22890767036.664673,8474792425.469518,NDM,B2
NDM_B2_09,-9478003510.351286,-13834921024.646135,NDM,B2
NDM_B2_10,-560531851.7239758,-18692071235.08667,NDM,B2
DM_B1_11,3483602323.608713,25272568350.824913,DM,B1
DM_B1_12,-25716316112.046978,3937130488.9678106,DM,B1
DM_B1_13,-71446290120.84724,-16444871389.256018,DM,B1
DM_B1_14,38295015848.89658,-1030002274.8930246,DM,B1
DM_B1_15,-76372065268.93074,3217099536.0155306,DM,B1
DM_B2_16,3546540988.337697,-13729296145.398901,DM,B2
DM_B2_17,67321292201.9753,-12259749348.24613,DM,B2
DM_B2_18,29165978427.477093,-3559315144.9321465,DM,B2
DM_B2_19,3342895202.451511,15638748657.835793,DM,B2
DM_B2_20,-1639598760.804412,-27126145025.030495,DM,B2
