,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
NDM_B1_01,1.0,0.8605781392879144,0.887756440380624,0.8826294739900458,0.8757234477071941,0.895791648586088,0.8827951188274685,0.882012289080748,0.8904652978842706,0.8713146592914434,0.8634988213972008,0.874023991970466,0.8703883050561407,0.8820975319450403,0.8839571282692599,0.8706961927208695,0.8854360843062289,0.8840742141536685,0.880923463718185,0.8872643708367959
NDM_B1_02,0.8605781392879144,1.0,0.8732354176241234,0.8747680579166995,0.8663484106131765,0.8724674294078583,0.8655577121022138,0.8646890669149594,0.8687314383767731,0.8552868927722564,0.8427938734468968,0.8768505895277209,0.8496929271113662,0.8594503338918642,0.8540852972826873,0.856947060904418,0.8670970913041758,0.86836036324495,0.8667512070320363,0.865303274661621
NDM_B1_03,0.887756440380624,0.8732354176241234,1.0,0.887622442943835,0.888980328124706,0.8941648790345491,0.8828855277858126,0.8777226564033827,0.8797728495742171,0.8561790374168174,0.8705048905123246,0.8716121285225162,0.8612225214678606,0.866918633324052,0.869482195878737,0.8669507414586584,0.8783860140839104,0.884184943282641,0.8629151971273624,0.8717614796927382
NDM_B1_04,0.8826294739900458,0.8747680579166995,0.887622442943835,1.0,0.8813706406345047,0.8786380604965969,0.8634022832761323,0.8723178993617106,0.8686502270137723,0.8458006672231958,0.8566022539961939,0.8665246449787443,0.8570815244972407,0.8587293857545509,0.8704921084083098,0.8486906594402587,0.8709237797853291,0.8622732424253003,0.8587859337739202,0.8571841464465059
NDM_B1_05,0.8757234477071941,0.8663484106131765,0.888980328124706,0.8813706406345047,1.0,0.8828900497687353,0.8713027162586217,0.8707785004858557,0.8687467891953587,0.8506512064953835,0.8733170834533068,0.8717404776391803,0.8653350533905246,0.8640776071734818,0.865419968285451,0.8621345452494673,0.8786503337361198,0.8732969981679846,0.867315935936683,0.8683096955885918
NDM_B2_06,0.895791648586088,0.8724674294078583,0.8941648790345491,0.8786380604965969,0.8828900497687353,1.0,0.9016404706449803,0.8963563447695708,0.9060613735065876,0.8938976214322717,0.8812989600374381,0.8726504266619164,0.8655859699328997,0.9005373392372364,0.8872216867365864,0.8920440590896046,0.9045221698029681,0.9023423483749162,0.897524446268526,0.8997240510808725
NDM_B2_07,0.8827951188274685,0.8655577121022138,0.8828855277858126,0.8634022832761323,0.8713027162586217,0.9016404706449803,1.0,0.8972915004465201,0.9087634645221107,0.9008094986825256,0.8557052946695881,0.8613683153540774,0.850215455109178,0.9023645568522414,0.8671183688639874,0.9129127607755683,0.9190667810294347,0.920218373409886,0.8964936332205081,0.911224847654401
NDM_B2_08,0.882012289080748,0.8646890669149594,0.8777226564033827,0.8723178993617106,0.8707785004858557,0.8963563447695708,0.8972915004465201,1.0,0.8966777634279616,0.8953628376778824,0.8621789164619476,0.8633578262075473,0.8461446558815771,0.892363585291491,0.8700343282084778,0.8907786773483358,0.9087129105683802,0.897776169029916,0.901907116639642,0.9015406367172057
NDM_B2_09,0.8904652978842706,0.8687314383767731,0.8797728495742171,0.8686502270137723,0.8687467891953587,0.9060613735065876,0.9087634645221107,0.8966777634279616,1.0,0.913732597056279,0.8557928380204588,0.8585688528943862,0.8606948325488714,0.8990984737194028,0.8838242136230716,0.8959144654436316,0.9028831205052229,0.8996439930780178,0.8982539521431459,0.9067037690147632
NDM_B2_10,0.8713146592914434,0.8552868927722564,0.8561790374168174,0.8458006672231958,0.8506512064953835,0.8938976214322717,0.9008094986825256,0.8953628376778824,0.913732597056279,1.0,0.8542961492204091,0.8429207211695103,0.8427125580361902,0.9001883846745383,0.8796625610519859,0.8945242817829279,0.9072329310598936,0.8909052718765823,0.9069756284611907,0.9048952595191272
