,median_correlation_to_other_samples
NDM_B1_01,0.8820975319450403
NDM_B1_02,0.8655577121022138
NDM_B1_03,0.8732354176241234
NDM_B1_04,0.8665246449787443
NDM_B1_05,0.8707785004858557
NDM_B2_06,0.8941648790345491
NDM_B2_07,0.8964936332205081
NDM_B2_08,0.8907786773483358
NDM_B2_09,0.8959144654436316
NDM_B2_10,0.8909052718765823
DM_B1_11,0.8705048905123246
DM_B1_12,0.8717404776391803
DM_B1_13,0.864880473200622
DM_B1_14,0.892363585291491
DM_B1_15,0.8739102272880759
DM_B2_16,0.8907786773483358
DM_B2_17,0.9028831205052229
DM_B2_18,0.8909052718765823
DM_B2_19,0.8964936332205081
DM_B2_20,0.8997240510808725
