row_position,Accession,Gene.name,Name,PeptideCounts,n_reference,n_comparison,mean_reference,mean_comparison,log2FC,group_coefficient,standard_error,t_statistic,residual_degrees_of_freedom,p_value,q_value
1959,Q9BQS8,FYCO1,FYVE and coiled-coil domain-containing protein 1,5,10,10,19.821898071519477,18.791744911400208,-1.0301531601192715,-1.0301531601192715,0.15740407314301524,-6.544641060103242,17.0,5.001398678996814e-06,0.00982774840422874
1961,Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,5,10,10,22.218549020791503,20.486617001457898,-1.7319320193336034,-1.7319320193336034,0.2904080235197403,-5.963788459914491,17.0,1.5401567899783637e-05,0.013169138725655281
1955,P54826,GAS1,Growth arrest-specific protein 1,3,10,10,19.68326162367349,18.11431404233138,-1.5689475813421108,-1.5689475813421108,0.2691412395671066,-5.829458108559077,17.0,2.010555530634394e-05,0.013169138725655281
1960,Q9H098,FAM107B,Protein FAM107B,2,10,10,22.267738108877953,20.79872402896079,-1.4690140799171596,-1.4690140799171596,0.28191090413420444,-5.210916138305284,17.0,7.065098902089538e-05,0.018298383578310498
1272,Q12974,PTP4A2,Protein tyrosine phosphatase type IVA 2,6,10,10,22.2508033393986,21.07584481554761,-1.1749585238509914,-1.1749585238509914,0.22659350156679162,-5.185314299512936,17.0,7.449723594223103e-05,0.018298383578310498
1953,P51692,STAT5B,Signal transducer and activator of transcription 5B,3,10,10,19.64851674698785,20.723662150725122,1.0751454037372747,1.0751454037372747,0.2046400140560421,5.253837616737256,17.0,6.465395881112164e-05,0.018298383578310498
1638,Q96LJ7,DHRS1,Dehydrogenase/reductase SDR family member 1,2,10,10,21.30428763581437,20.540349051174196,-0.7639385846401774,-0.7639385846401774,0.1444919735619257,-5.28706588890747,17.0,6.037198493553843e-05,0.018298383578310498
1947,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",33,10,10,28.017801037414113,27.61303553635285,-0.40476550106126624,-0.40476550106126624,0.07642026005438037,-5.296573196338728,17.0,5.920125042826157e-05,0.018298383578310498
1954,P52815,MRPL12,"39S ribosomal protein L12, mitochondrial",2,10,10,23.070124642524316,21.51547914399377,-1.554645498530551,-1.554645498530551,0.30969639591089515,-5.019901810474567,17.0,0.00010511119931886265,0.022949278517951678
1948,P25705,ATP5A1,"ATP synthase subunit alpha, mitochondrial",22,10,10,27.9080536388116,27.43991697992099,-0.46813665889060974,-0.46813665889060974,0.09656698720402099,-4.847791905338814,17.0,0.00015085288074077977,0.029642591065563224
215,O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",3,10,10,21.70188216759779,21.023743608006054,-0.6781385595917448,-0.6781385595917448,0.14197728921919914,-4.776387571006267,17.0,0.00017539902128002662,0.03133264334684112
195,O76062,TM7SF2,Delta(14)-sterol reductase,1,10,10,20.880368432235947,20.21700535212755,-0.6633630801083972,-0.6633630801083972,0.14480610440078967,-4.581043615898693,17.0,0.0002655750496337184,0.04348791437752139
1943,P04004,VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,13,10,10,26.32727661816981,27.080165431195034,0.7528888130252228,0.7528888130252228,0.16673787236088494,4.515403743401988,17.0,0.0003055217639114687,0.04618078969892585
1942,O14744,PRMT5,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",6,10,10,20.739323583356047,21.991743360726115,1.252419777370068,1.252419777370068,0.28202847434054495,4.440756488501905,17.0,0.0003584467359621128,0.05031055972611083
1964,Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2,4,10,10,21.308297406818845,23.31440996901497,2.0061125621961224,2.0061125621961224,0.45670654128319704,4.392563672417737,17.0,0.0003974775148283144,0.052069554442509186
1397,Q15649,ZNHIT3,Zinc finger HIT domain-containing protein 3,1,10,10,22.260000482783834,23.330635411294274,1.070634928510436,1.070634928510436,0.24652029120388624,4.342989063017779,17.0,0.0004421401537805234,0.05430033763617053
49,O00399,DCTN6,Dynactin subunit 6,1,10,10,21.090340494040156,22.090059937972796,0.9997194439326412,0.9997194439326412,0.2359741385638845,4.236563591319099,17.0,0.0005559949848006259,0.06426647912548411
1950,P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",15,10,10,24.064772444158216,22.633340470810207,-1.4314319733480108,-1.4314319733480108,0.3653728623586688,-3.917729313850473,17.0,0.0011082431522365373,0.08741415265297385
1962,Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase,13,10,10,25.988058934477998,24.89170235398496,-1.0963565804930397,-1.0963565804930397,0.2786402385120371,-3.934667104606565,17.0,0.0010682707269547315,0.08741415265297385
1946,P10515,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",10,10,10,24.68427889570377,23.643170525390047,-1.041108370313724,-1.041108370313724,0.26165712537112223,-3.9789031880445243,17.0,0.0009705791909163864,0.08741415265297385
1949,P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",13,10,10,28.01869567514754,27.17624537841409,-0.8424502967334532,-0.8424502967334532,0.2151241953907295,-3.916111319804418,17.0,0.001112139346729947,0.08741415265297385
879,P43251,BTD,Biotinidase,4,10,10,21.815020189237675,22.58673012138165,0.7717099321439675,0.7717099321439675,0.19489938189355688,3.9595299104921344,17.0,0.0010122059270616772,0.08741415265297385
174,O75477,ERLIN1,Erlin-1,4,10,10,20.12470539368487,20.74406652894276,0.6193611352578925,0.6193611352578925,0.15274529126410455,4.054862379927542,17.0,0.0008233311716139451,0.08741415265297385
1944,P06576,ATP5B,"ATP synthase subunit beta, mitochondrial",23,10,10,29.057410711702282,28.537910899594436,-0.5194998121078536,-0.5194998121078536,0.13017280322383068,-3.9908475445103493,17.0,0.0009457777228702636,0.08741415265297385
1717,Q9H0A8,COMMD4,COMM domain-containing protein 4,2,10,10,21.451096115004724,21.023085978256024,-0.4280101367486995,-0.4280101367486995,0.1090620345156036,-3.9244649950800587,17.0,0.0010921702464212568,0.08741415265297385
1951,P46060,RANGAP1,Ran GTPase-activating protein 1,9,10,10,24.50073147688634,20.49494158846145,-4.005789888424888,-4.005789888424888,1.0338885843481191,-3.8744889430717464,17.0,0.0012172396455293025,0.0919952270563492
1104,P62273,RPS29,40S ribosomal protein S29,2,10,10,18.333800064820842,20.458450211408767,2.124650146587926,2.124650146587926,0.5620730269554265,3.780025094063827,17.0,0.0014942636186181173,0.10406338603830366
433,P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",4,10,10,22.87982539031833,21.471881495013807,-1.4079438953045247,-1.4079438953045247,0.3737177948380957,-3.7673985952809197,17.0,0.0015357955191403593,0.10406338603830366
1945,P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",12,10,10,25.556501676172935,24.899181916615767,-0.6573197595571689,-0.6573197595571689,0.17308192788053706,-3.7977376818384982,17.0,0.001437891139730215,0.10406338603830366
225,O95571,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial",4,10,10,22.31100588244268,20.91871427546428,-1.3922916069784015,-1.3922916069784015,0.3773720601899686,-3.6894400880593112,17.0,0.0018190691842903733,0.11488050756901408
133,O60234,GMFG,Glia maturation factor gamma,5,10,10,21.27162731854402,22.250844950988995,0.9792176324449681,0.9792176324449681,0.26493169022757296,3.6961136344384946,17.0,0.0017928998578183811,0.11488050756901408
1835,Q9UEU0,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B,3,10,10,20.30002151149191,19.770465478932163,-0.5295560325597473,-0.5295560325597473,0.14459474423832167,-3.6623463414889463,17.0,0.00192929096680787,0.11488050756901408
567,P14384,CPM,Carboxypeptidase M,3,10,10,21.205055279070923,20.71459808389715,-0.49045719517377506,-0.49045719517377506,0.13374167735430154,-3.667197876354438,17.0,0.0019090752261105549,0.11488050756901408
1691,Q9BVG4,PBDC1,Protein PBDC1,3,10,10,20.955509653634373,21.591069732458656,0.6355600788242854,0.6355600788242854,0.17448547351259144,3.6424813254062745,17.0,0.002014319121103096,0.11641579626375247
868,P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",7,10,10,23.484422398296925,22.15683514101039,-1.3275872572865386,-1.3275872572865386,0.37060095944954335,-3.5822553164957123,17.0,0.0022956300905040863,0.12375213885219384
806,P35241,RDX,Radixin,16,10,10,22.00449702573716,21.210468632474793,-0.7940283932623705,-0.7940283932623705,0.22208292482628592,-3.575368947808403,17.0,0.0023301929453084843,0.12375213885219384
