row_position,Accession,Gene.name,Name,PeptideCounts,n_reference,n_comparison,mean_reference,mean_comparison,log2FC,group_coefficient,standard_error,t_statistic,residual_degrees_of_freedom,p_value,q_value
1942,O14744,PRMT5,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",6,10,10,20.739323583356047,21.991743360726115,1.252419777370068,1.252419777370068,0.28202847434054495,4.440756488501905,17.0,0.0003584467359621128,0.05031055972611083
1964,Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2,4,10,10,21.308297406818845,23.31440996901497,2.0061125621961224,2.0061125621961224,0.45670654128319704,4.392563672417737,17.0,0.0003974775148283144,0.052069554442509186
1397,Q15649,ZNHIT3,Zinc finger HIT domain-containing protein 3,1,10,10,22.260000482783834,23.330635411294274,1.070634928510436,1.070634928510436,0.24652029120388624,4.342989063017779,17.0,0.0004421401537805234,0.05430033763617053
49,O00399,DCTN6,Dynactin subunit 6,1,10,10,21.090340494040156,22.090059937972796,0.9997194439326412,0.9997194439326412,0.2359741385638845,4.236563591319099,17.0,0.0005559949848006259,0.06426647912548411
1950,P31040,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",15,10,10,24.064772444158216,22.633340470810207,-1.4314319733480108,-1.4314319733480108,0.3653728623586688,-3.917729313850473,17.0,0.0011082431522365373,0.08741415265297385
1962,Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase,13,10,10,25.988058934477998,24.89170235398496,-1.0963565804930397,-1.0963565804930397,0.2786402385120371,-3.934667104606565,17.0,0.0010682707269547315,0.08741415265297385
1946,P10515,DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",10,10,10,24.68427889570377,23.643170525390047,-1.041108370313724,-1.041108370313724,0.26165712537112223,-3.9789031880445243,17.0,0.0009705791909163864,0.08741415265297385
1949,P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",13,10,10,28.01869567514754,27.17624537841409,-0.8424502967334532,-0.8424502967334532,0.2151241953907295,-3.916111319804418,17.0,0.001112139346729947,0.08741415265297385
879,P43251,BTD,Biotinidase,4,10,10,21.815020189237675,22.58673012138165,0.7717099321439675,0.7717099321439675,0.19489938189355688,3.9595299104921344,17.0,0.0010122059270616772,0.08741415265297385
174,O75477,ERLIN1,Erlin-1,4,10,10,20.12470539368487,20.74406652894276,0.6193611352578925,0.6193611352578925,0.15274529126410455,4.054862379927542,17.0,0.0008233311716139451,0.08741415265297385
1944,P06576,ATP5B,"ATP synthase subunit beta, mitochondrial",23,10,10,29.057410711702282,28.537910899594436,-0.5194998121078536,-0.5194998121078536,0.13017280322383068,-3.9908475445103493,17.0,0.0009457777228702636,0.08741415265297385
1717,Q9H0A8,COMMD4,COMM domain-containing protein 4,2,10,10,21.451096115004724,21.023085978256024,-0.4280101367486995,-0.4280101367486995,0.1090620345156036,-3.9244649950800587,17.0,0.0010921702464212568,0.08741415265297385
1951,P46060,RANGAP1,Ran GTPase-activating protein 1,9,10,10,24.50073147688634,20.49494158846145,-4.005789888424888,-4.005789888424888,1.0338885843481191,-3.8744889430717464,17.0,0.0012172396455293025,0.0919952270563492
1104,P62273,RPS29,40S ribosomal protein S29,2,10,10,18.333800064820842,20.458450211408767,2.124650146587926,2.124650146587926,0.5620730269554265,3.780025094063827,17.0,0.0014942636186181173,0.10406338603830366
433,P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial",4,10,10,22.87982539031833,21.471881495013807,-1.4079438953045247,-1.4079438953045247,0.3737177948380957,-3.7673985952809197,17.0,0.0015357955191403593,0.10406338603830366
1945,P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",12,10,10,25.556501676172935,24.899181916615767,-0.6573197595571689,-0.6573197595571689,0.17308192788053706,-3.7977376818384982,17.0,0.001437891139730215,0.10406338603830366
225,O95571,ETHE1,"Persulfide dioxygenase ETHE1, mitochondrial",4,10,10,22.31100588244268,20.91871427546428,-1.3922916069784015,-1.3922916069784015,0.3773720601899686,-3.6894400880593112,17.0,0.0018190691842903733,0.11488050756901408
133,O60234,GMFG,Glia maturation factor gamma,5,10,10,21.27162731854402,22.250844950988995,0.9792176324449681,0.9792176324449681,0.26493169022757296,3.6961136344384946,17.0,0.0017928998578183811,0.11488050756901408
1835,Q9UEU0,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B,3,10,10,20.30002151149191,19.770465478932163,-0.5295560325597473,-0.5295560325597473,0.14459474423832167,-3.6623463414889463,17.0,0.00192929096680787,0.11488050756901408
567,P14384,CPM,Carboxypeptidase M,3,10,10,21.205055279070923,20.71459808389715,-0.49045719517377506,-0.49045719517377506,0.13374167735430154,-3.667197876354438,17.0,0.0019090752261105549,0.11488050756901408
1691,Q9BVG4,PBDC1,Protein PBDC1,3,10,10,20.955509653634373,21.591069732458656,0.6355600788242854,0.6355600788242854,0.17448547351259144,3.6424813254062745,17.0,0.002014319121103096,0.11641579626375247
868,P42126,ECI1,"Enoyl-CoA delta isomerase 1, mitochondrial",7,10,10,23.484422398296925,22.15683514101039,-1.3275872572865386,-1.3275872572865386,0.37060095944954335,-3.5822553164957123,17.0,0.0022956300905040863,0.12375213885219384
806,P35241,RDX,Radixin,16,10,10,22.00449702573716,21.210468632474793,-0.7940283932623705,-0.7940283932623705,0.22208292482628592,-3.575368947808403,17.0,0.0023301929453084843,0.12375213885219384
860,P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase",30,10,10,26.891415850092603,26.40797093478968,-0.4834449153029214,-0.4834449153029214,0.13497466693068808,-3.5817455697162717,17.0,0.00229817093033661,0.12375213885219384
60,O00584,RNASET2,Ribonuclease T2,5,10,10,21.737210906033106,19.888241399461684,-1.848969506571423,-1.848969506571423,0.5276412533312844,-3.5042171075477495,17.0,0.0027190702247863285,0.13699930747961886
1317,Q13790,APOF,Apolipoprotein F,1,10,10,20.670698538091578,21.715587994364732,1.044889456273151,1.044889456273151,0.2974849469195271,3.5124111895174477,17.0,0.002671186077889439,0.13699930747961886
626,P19367,HK1,Hexokinase-1,4,10,10,19.67567995802147,20.458056575742596,0.7823766177211222,0.7823766177211222,0.22511381806144853,3.475471316947588,17.0,0.0028938954283685633,0.13869523211571286
38,O00170,AIP,AH receptor-interacting protein,3,10,10,21.458483423568016,22.046455890540035,0.5879724669720171,0.5879724669720171,0.16905764403445,3.4779407363100483,17.0,0.0028784486767512835,0.13869523211571286
262,P00751,CFB,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,29,10,10,27.384900519807427,27.96796412054973,0.5830636007422995,0.5830636007422995,0.16887341085168145,3.4526666915870727,17.0,0.0030404877586585996,0.14225139156581304
211,O95202,LETM1,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",6,10,10,22.085892988595326,20.266125520936477,-1.819767467658856,-1.819767467658856,0.5311039267534715,-3.426386769125806,17.0,0.0032185735261076,0.1437385677000326
1957,Q16836,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",13,10,10,27.955392489078967,26.868703600325233,-1.0866888887537345,-1.0866888887537345,0.316989064858357,-3.428158915321919,17.0,0.003206246075457118,0.1437385677000326
781,P31930,UQCRC1,"Cytochrome b-c1 complex subunit 1, mitochondrial",13,10,10,24.579415006852976,23.85447150680286,-0.7249435000501215,-0.7249435000501215,0.2163158365032035,-3.351319587918315,17.0,0.003786182136092966,0.16173582385701474
260,P00747,PLG,"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",27,10,10,26.120046178634738,26.74524539649346,0.625199217858723,0.625199217858723,0.18646031526865736,3.3529880980728692,17.0,0.0037725498599302555,0.16173582385701474
1923,Q9Y5Y2,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2,2,10,10,20.404869221579347,20.98937148032721,0.5845022587478604,0.5845022587478604,0.17587430151906286,3.3234091262873147,17.0,0.004021571904138443,0.1646330998256675
859,P40926,MDH2,"Malate dehydrogenase, mitochondrial",17,10,10,27.240952239874634,26.679811474322527,-0.5611407655521123,-0.5611407655521123,0.16868373809278234,-3.3265848379733205,17.0,0.0039940763500986715,0.1646330998256675
1582,Q92930,RAB8B,Ras-related protein Rab-8B,3,10,10,19.205490616615684,20.29214704306697,1.0866564264512806,1.0866564264512806,0.3280392388055445,3.3125806242204767,17.0,0.004116738401959014,0.16508961142549922
597,P16219,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",15,10,10,25.590868510700194,24.64633478612194,-0.9445337245782554,-0.9445337245782554,0.28711269047140986,-3.2897665478576616,17.0,0.004324573762368575,0.16995574886108503
1610,Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial",10,10,10,22.523582604241863,21.125148104428813,-1.3984344998130527,-1.3984344998130527,0.42960287843373407,-3.255179539093242,17.0,0.004659543857237809,0.17952948391122148
1956,P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,11,10,10,25.210440699364376,23.078396774323558,-2.1320439250408247,-2.1320439250408247,0.6590702815718302,-3.234926508833124,17.0,0.004867423188859312,0.18154840500668562
1815,Q9P225,DNAH2,"Dynein heavy chain 2, axonemal",4,10,10,20.67101268983801,22.13306417732426,1.4620514874862476,1.4620514874862476,0.45234776807755683,3.232140381060912,17.0,0.004896725427661241,0.18154840500668562
609,P17050,NAGA,Alpha-N-acetylgalactosaminidase,2,10,10,19.983243601171463,21.77010202371011,1.7868584225386455,1.7868584225386455,0.5630674567235024,3.1734357956618555,17.0,0.0055560716017828745,0.1826945029842204
947,P49915,GMPS,GMP synthase [glutamine-hydrolyzing],5,10,10,21.154196890521863,19.58695874806371,-1.5672381424581525,-1.5672381424581525,0.49011031997140614,-3.197725243878945,17.0,0.005273302916441696,0.1826945029842204
941,P49755,TMED10,Transmembrane emp24 domain-containing protein 10,3,10,10,21.84102340068744,23.232216361874336,1.3911929611868954,1.3911929611868954,0.4363809764476565,3.1880238513416677,17.0,0.0053845059225532035,0.1826945029842204
1310,Q13564,NAE1,NEDD8-activating enzyme E1 regulatory subunit,6,10,10,21.717410319172583,20.866007838170482,-0.8514024810021042,-0.8514024810021042,0.2684486935432146,-3.171565000986106,17.0,0.005578458106388409,0.1826945029842204
189,O75935,DCTN3,Dynactin subunit 3,7,10,10,20.46849748705349,21.175725155495115,0.7072276684416243,0.7072276684416243,0.2196578625290193,3.219678368436238,17.0,0.005029929268596936,0.1826945029842204
840,P38117,ETFB,Electron transfer flavoprotein subunit beta,11,10,10,25.70055855612617,25.045658521369397,-0.6549000347567738,-0.6549000347567738,0.20547384588298137,-3.187267128536366,17.0,0.005393276139783192,0.1826945029842204
1240,Q06830,PRDX1,Peroxiredoxin-1,14,10,10,28.510814321909727,28.771044629068513,0.2602303071587801,0.2602303071587801,0.0812795190243187,3.201671347008336,17.0,0.005228718804991985,0.1826945029842204
1235,Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,10,10,10,21.18340213379056,22.240200974360604,1.056798840570043,1.056798840570043,0.3348651942684634,3.155893352483809,17.0,0.005769499767179667,0.1858535580739024
200,O94826,TOMM70A,Mitochondrial import receptor subunit TOM70,14,10,10,22.642474894422353,21.828620690368425,-0.81385420405393,-0.81385420405393,0.260552044019173,-3.1235763554172764,17.0,0.006183933488556383,0.19599079524214988
1823,Q9UBI6,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,4,10,10,23.94368230560405,21.870984893820186,-2.072697411783869,-2.072697411783869,0.6779952374631857,-3.0570973028352784,17.0,0.007130193387928951,0.19646591056961699
1410,Q16134,ETFDH,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",8,10,10,23.055149520309154,21.60686506675095,-1.4482844535582124,-1.4482844535582124,0.47061782074885217,-3.077410989778684,17.0,0.006826950543571671,0.19646591056961699
1301,Q13442,PDAP1,28 kDa heat- and acid-stable phosphoprotein,3,10,10,21.09402823322194,22.48002697295535,1.3859987397334146,1.3859987397334146,0.4510368585079113,3.072916799568175,17.0,0.006892934623211363,0.19646591056961699
1787,Q9NX40,OCIAD1,OCIA domain-containing protein 1,1,10,10,21.156625083744547,19.889540695946774,-1.267084387797776,-1.267084387797776,0.41676401443149574,-3.040292213151356,17.0,0.007390970365779152,0.19646591056961699
1698,Q9BXK5,BCL2L13,Bcl-2-like protein 13,6,10,10,21.562318405130025,20.328927838856433,-1.233390566273596,-1.233390566273596,0.40574701439183697,-3.0398019517710835,17.0,0.007398716225013565,0.19646591056961699
1174,P80188,LCN2,Neutrophil gelatinase-associated lipocalin,2,10,10,21.08205425691912,22.145593285891664,1.0635390289725404,1.0635390289725404,0.34275326944618795,3.1029289106154403,17.0,0.00646384200310471,0.19646591056961699
