row_position,Accession,Gene.name,Name,PeptideCounts,n_reference,n_comparison,mean_reference,mean_comparison,log2FC,group_coefficient,standard_error,t_statistic,residual_degrees_of_freedom,p_value,q_value
1959,Q9BQS8,FYCO1,FYVE and coiled-coil domain-containing protein 1,5,10,10,19.821898071519477,18.791744911400208,-1.0301531601192715,-1.0301531601192715,0.15740407314301524,-6.544641060103242,17.0,5.001398678996814e-06,0.00982774840422874
1961,Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,5,10,10,22.218549020791503,20.486617001457898,-1.7319320193336034,-1.7319320193336034,0.2904080235197403,-5.963788459914491,17.0,1.5401567899783637e-05,0.013169138725655281
1955,P54826,GAS1,Growth arrest-specific protein 1,3,10,10,19.68326162367349,18.11431404233138,-1.5689475813421108,-1.5689475813421108,0.2691412395671066,-5.829458108559077,17.0,2.010555530634394e-05,0.013169138725655281
1960,Q9H098,FAM107B,Protein FAM107B,2,10,10,22.267738108877953,20.79872402896079,-1.4690140799171596,-1.4690140799171596,0.28191090413420444,-5.210916138305284,17.0,7.065098902089538e-05,0.018298383578310498
1272,Q12974,PTP4A2,Protein tyrosine phosphatase type IVA 2,6,10,10,22.2508033393986,21.07584481554761,-1.1749585238509914,-1.1749585238509914,0.22659350156679162,-5.185314299512936,17.0,7.449723594223103e-05,0.018298383578310498
1953,P51692,STAT5B,Signal transducer and activator of transcription 5B,3,10,10,19.64851674698785,20.723662150725122,1.0751454037372747,1.0751454037372747,0.2046400140560421,5.253837616737256,17.0,6.465395881112164e-05,0.018298383578310498
1638,Q96LJ7,DHRS1,Dehydrogenase/reductase SDR family member 1,2,10,10,21.30428763581437,20.540349051174196,-0.7639385846401774,-0.7639385846401774,0.1444919735619257,-5.28706588890747,17.0,6.037198493553843e-05,0.018298383578310498
1947,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",33,10,10,28.017801037414113,27.61303553635285,-0.40476550106126624,-0.40476550106126624,0.07642026005438037,-5.296573196338728,17.0,5.920125042826157e-05,0.018298383578310498
1954,P52815,MRPL12,"39S ribosomal protein L12, mitochondrial",2,10,10,23.070124642524316,21.51547914399377,-1.554645498530551,-1.554645498530551,0.30969639591089515,-5.019901810474567,17.0,0.00010511119931886265,0.022949278517951678
1948,P25705,ATP5A1,"ATP synthase subunit alpha, mitochondrial",22,10,10,27.9080536388116,27.43991697992099,-0.46813665889060974,-0.46813665889060974,0.09656698720402099,-4.847791905338814,17.0,0.00015085288074077977,0.029642591065563224
215,O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",3,10,10,21.70188216759779,21.023743608006054,-0.6781385595917448,-0.6781385595917448,0.14197728921919914,-4.776387571006267,17.0,0.00017539902128002662,0.03133264334684112
195,O76062,TM7SF2,Delta(14)-sterol reductase,1,10,10,20.880368432235947,20.21700535212755,-0.6633630801083972,-0.6633630801083972,0.14480610440078967,-4.581043615898693,17.0,0.0002655750496337184,0.04348791437752139
1943,P04004,VTN,Vitronectin;Vitronectin V65 subunit;Vitronectin V10 subunit;Somatomedin-B,13,10,10,26.32727661816981,27.080165431195034,0.7528888130252228,0.7528888130252228,0.16673787236088494,4.515403743401988,17.0,0.0003055217639114687,0.04618078969892585
