sample,PC1,PC2,group,batch
NDM_B1_01,4.845754115325037,9.738915984196815,NDM,B1
NDM_B1_02,20.491665116009965,4.929680371120461,NDM,B1
NDM_B1_03,16.618724496500516,-7.359917915952833,NDM,B1
NDM_B1_04,20.80191282094714,4.405113931755432,NDM,B1
NDM_B1_05,9.143224504601491,-15.68315183115636,NDM,B1
NDM_B2_06,8.985554659017616,-4.043762291480467,NDM,B2
NDM_B2_07,7.824818726965516,-2.5443602348149743,NDM,B2
NDM_B2_08,10.361008346272856,-2.1624377663535665,NDM,B2
NDM_B2_09,9.232540173648236,11.992423864740344,NDM,B2
NDM_B2_10,-0.46899761344796437,19.305061929570176,NDM,B2
DM_B1_11,-22.94492119422198,-10.981850739054279,DM,B1
DM_B1_12,-5.1762337211846186,-14.593343197884918,DM,B1
DM_B1_13,-14.241261885757153,-13.13646959096868,DM,B1
DM_B1_14,-18.87138274580359,20.605420500500927,DM,B1
DM_B1_15,-10.667481506416744,22.075602487443653,DM,B1
DM_B2_16,-10.489934499927873,-6.45155390198312,DM,B2
DM_B2_17,-4.077223970434976,-4.318131871308508,DM,B2
DM_B2_18,-2.889248324680944,-12.474584491810122,DM,B2
DM_B2_19,-9.601388912552014,3.50814488210684,DM,B2
DM_B2_20,-8.87712858486041,-2.810800118666868,DM,B2
