,median_correlation_to_other_samples
NDM_B1_01,0.8955551152172782
NDM_B1_02,0.8843913219683945
NDM_B1_03,0.8882348629198987
NDM_B1_04,0.8882738137891932
NDM_B1_05,0.8900126648616395
NDM_B2_06,0.8961241416538905
NDM_B2_07,0.9022552455110996
NDM_B2_08,0.8946184561353215
NDM_B2_09,0.897467712886856
NDM_B2_10,0.8923282355806991
DM_B1_11,0.8835458218593091
DM_B1_12,0.8816914975993929
DM_B1_13,0.8759438049209501
DM_B1_14,0.8867305404698196
DM_B1_15,0.8879721532226957
DM_B2_16,0.8977789650947198
DM_B2_17,0.9066740641131331
DM_B2_18,0.9013749840742327
DM_B2_19,0.8998420483362934
DM_B2_20,0.9058190410349023
