sample,PC1,PC2,group,batch
NDM_B1_01,-11.548218132592762,5.392215427812063,NDM,B1
NDM_B1_02,-13.911170691689184,22.427673280813142,NDM,B1
NDM_B1_03,-19.215406218391223,13.18669060941436,NDM,B1
NDM_B1_04,-20.903545590601045,18.585211502775255,NDM,B1
NDM_B1_05,-23.352549968755305,3.3777649370715594,NDM,B1
NDM_B2_06,3.5447518279819716,7.188873019115519,NDM,B2
NDM_B2_07,17.18337933009401,9.583946352855467,NDM,B2
NDM_B2_08,10.194914299658535,10.45395093678287,NDM,B2
NDM_B2_09,15.107668995631302,12.353631220647785,NDM,B2
NDM_B2_10,23.94490454455456,4.840595891912056,NDM,B2
DM_B1_11,-17.773885398293697,-25.401280401697644,DM,B1
DM_B1_12,-20.565377108348287,-9.544085283761577,DM,B1
DM_B1_13,-24.985310270580474,-19.648644329086743,DM,B1
DM_B1_14,14.087559361990529,-10.908017535530274,DM,B1
DM_B1_15,-5.965448354953423,-7.073010583447608,DM,B1
DM_B2_16,16.637517282944,-9.753728622050023,DM,B2
DM_B2_17,14.983170352610873,-4.042901097401896,DM,B2
DM_B2_18,11.458750425037051,-4.305817171347616,DM,B2
DM_B2_19,14.836269571081788,-8.663353349308359,DM,B2
DM_B2_20,16.242025742620786,-8.0497148055683,DM,B2
