,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
NDM_B1_01,1.0,0.8605781392879147,0.8877564403806242,0.8826294739900457,0.8757234477071946,0.895791648586088,0.8827951188274686,0.8820122890807481,0.8904652978842705,0.8713146592914432,0.8634988213972009,0.8740239919704662,0.8703883050561406,0.8820975319450403,0.8839571282692599,0.8706961927208696,0.885436084306229,0.8840742141536685,0.8809234637181853,0.8872643708367962
NDM_B1_02,0.8605781392879147,1.0,0.8732354176241235,0.8747680579166998,0.8663484106131765,0.872467429407858,0.8655577121022137,0.8646890669149594,0.8687314383767732,0.8552868927722564,0.842793873446897,0.8768505895277207,0.8496929271113661,0.8594503338918641,0.8540852972826877,0.8569470609044181,0.8670970913041758,0.8683603632449503,0.8667512070320362,0.8653032746616209
NDM_B1_03,0.8877564403806242,0.8732354176241235,1.0,0.8876224429438349,0.8889803281247062,0.8941648790345493,0.8828855277858128,0.8777226564033827,0.8797728495742172,0.8561790374168176,0.8705048905123248,0.871612128522516,0.8612225214678607,0.8669186333240518,0.8694821958787367,0.8669507414586585,0.8783860140839105,0.884184943282641,0.8629151971273624,0.8717614796927384
NDM_B1_04,0.8826294739900457,0.8747680579166998,0.8876224429438349,1.0,0.8813706406345049,0.8786380604965968,0.8634022832761328,0.8723178993617106,0.8686502270137728,0.8458006672231956,0.8566022539961942,0.8665246449787442,0.8570815244972407,0.8587293857545508,0.8704921084083098,0.8486906594402589,0.8709237797853293,0.8622732424253005,0.8587859337739205,0.857184146446506
NDM_B1_05,0.8757234477071946,0.8663484106131765,0.8889803281247062,0.8813706406345049,1.0,0.8828900497687355,0.8713027162586218,0.8707785004858558,0.8687467891953587,0.8506512064953837,0.8733170834533069,0.8717404776391803,0.8653350533905241,0.8640776071734818,0.8654199682854511,0.8621345452494674,0.8786503337361194,0.8732969981679846,0.867315935936683,0.8683096955885917
NDM_B2_06,0.895791648586088,0.872467429407858,0.8941648790345493,0.8786380604965968,0.8828900497687355,1.0,0.9016404706449804,0.8963563447695707,0.9060613735065872,0.8938976214322716,0.8812989600374384,0.8726504266619166,0.8655859699328996,0.9005373392372363,0.8872216867365865,0.8920440590896048,0.9045221698029682,0.9023423483749163,0.8975244462685259,0.8997240510808725
NDM_B2_07,0.8827951188274686,0.8655577121022137,0.8828855277858128,0.8634022832761328,0.8713027162586218,0.9016404706449804,1.0,0.8972915004465202,0.9087634645221108,0.9008094986825257,0.8557052946695882,0.8613683153540775,0.8502154551091784,0.9023645568522416,0.8671183688639873,0.9129127607755679,0.9190667810294348,0.920218373409886,0.8964936332205082,0.9112248476544011
NDM_B2_08,0.8820122890807481,0.8646890669149594,0.8777226564033827,0.8723178993617106,0.8707785004858558,0.8963563447695707,0.8972915004465202,1.0,0.8966777634279613,0.8953628376778822,0.8621789164619477,0.8633578262075474,0.846144655881577,0.8923635852914908,0.8700343282084779,0.8907786773483362,0.9087129105683802,0.897776169029916,0.9019071166396418,0.9015406367172059
NDM_B2_09,0.8904652978842705,0.8687314383767732,0.8797728495742172,0.8686502270137728,0.8687467891953587,0.9060613735065872,0.9087634645221108,0.8966777634279613,1.0,0.9137325970562792,0.855792838020459,0.858568852894386,0.8606948325488715,0.8990984737194029,0.8838242136230717,0.8959144654436321,0.9028831205052227,0.899643993078018,0.8982539521431456,0.9067037690147632
NDM_B2_10,0.8713146592914432,0.8552868927722564,0.8561790374168176,0.8458006672231956,0.8506512064953837,0.8938976214322716,0.9008094986825257,0.8953628376778822,0.9137325970562792,1.0,0.8542961492204091,0.8429207211695103,0.84271255803619,0.9001883846745383,0.8796625610519858,0.8945242817829282,0.9072329310598936,0.8909052718765823,0.9069756284611907,0.9048952595191272
