sample,PC1,PC2,group,batch
NDM_B1_01,-54827228342.594986,19371145655.029633,NDM,B1
NDM_B1_02,-4954778.425983956,-43095864810.562584,NDM,B1
NDM_B1_03,16358192411.33443,29721735272.22965,NDM,B1
NDM_B1_04,-57193925839.26958,-7847454744.427735,NDM,B1
NDM_B1_05,10454871229.368786,53825965519.86722,NDM,B1
NDM_B2_06,33343298863.616932,17930729752.82363,NDM,B2
NDM_B2_07,69036460051.26347,-19770224516.583992,NDM,B2
NDM_B2_08,22890767036.66472,8474792425.469461,NDM,B2
NDM_B2_09,-9478003510.351309,-13834921024.646225,NDM,B2
NDM_B2_10,-560531851.7239764,-18692071235.08672,NDM,B2
DM_B1_11,3483602323.6087403,25272568350.8248,DM,B1
DM_B1_12,-25716316112.047012,3937130488.9679737,DM,B1
DM_B1_13,-71446290120.84738,-16444871389.255957,DM,B1
DM_B1_14,38295015848.89667,-1030002274.8927535,DM,B1
DM_B1_15,-76372065268.93077,3217099536.015467,DM,B1
DM_B2_16,3546540988.3377104,-13729296145.398754,DM,B2
DM_B2_17,67321292201.97541,-12259749348.246134,DM,B2
DM_B2_18,29165978427.477127,-3559315144.9323015,DM,B2
DM_B2_19,3342895202.4515,15638748657.835741,DM,B2
DM_B2_20,-1639598760.8044076,-27126145025.030643,DM,B2
