,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20
NDM_B1_01,1.0,0.8443346310754765,0.934989373380783,0.9977300249693483,0.9609827290611294,0.89610193860461,0.7470489698739391,0.9013499727075688,0.9324824955598264,0.8999655078531946,0.9463467253084158,0.9732803288118393,0.9903508568024013,0.8546903434063334,0.9825653265287856,0.8984449443175981,0.7712555318140611,0.8699987602058709,0.9405290179246949,0.8804489033438255
NDM_B1_02,0.8443346310754765,1.0,0.9739184279891148,0.8595706367601311,0.9523646808515374,0.9922443982496635,0.971195711615213,0.9892510778998335,0.978308361889062,0.9890749553706824,0.9617887680248413,0.938397198721923,0.8005885217324246,0.9964762981279744,0.7622185825122584,0.9876557706395598,0.9874038636584623,0.9962546467858825,0.9612885128044921,0.9877860987014334
NDM_B1_03,0.934989373380783,0.9739184279891148,1.0,0.9423868729676818,0.9959572539382064,0.9929840301382151,0.9180967308798207,0.9926800099575537,0.9946641589615197,0.9933334334799079,0.9973623569427476,0.9877763169512515,0.8984930199391559,0.9798533343128303,0.8703832218142651,0.9907090365227545,0.9416044259022852,0.9831638674957547,0.9858141365982799,0.9841951179733389
NDM_B1_04,0.9977300249693483,0.8595706367601311,0.9423868729676818,1.0,0.9663055549173751,0.9079447496924303,0.7652357291881801,0.9129134251555443,0.9427100995205471,0.9104534496083949,0.95321878605688,0.9775475328236589,0.9865037193269944,0.8686099291145112,0.9777743764536992,0.9098216351663421,0.7898977874590294,0.8831909008547055,0.9499435617157176,0.8936893325997005
NDM_B1_05,0.9609827290611294,0.9523646808515374,0.9959572539382064,0.9663055549173751,1.0,0.9802545262703274,0.8829054771582715,0.981024875448783,0.9893075642195825,0.982364836069711,0.9981394218494242,0.9962340842887608,0.9285788021657448,0.9599130317847431,0.9052993697018237,0.9800259049741026,0.9097832232705594,0.9652205654198304,0.9840202186429801,0.971205755215995
NDM_B2_06,0.89610193860461,0.9922443982496635,0.9929840301382151,0.9079447496924303,0.9802545262703274,1.0,0.9536461964719234,0.9985651817045593,0.9940588369263301,0.9969658231616243,0.9856202213384517,0.9677649879684254,0.8560161342651162,0.9955456238925688,0.823558098004707,0.9944587302244399,0.9719317122480935,0.996733363943477,0.9827050313140858,0.9911965773647686
NDM_B2_07,0.7470489698739391,0.971195711615213,0.9180967308798207,0.7652357291881801,0.8829054771582715,0.9536461964719234,1.0,0.9544637149661429,0.931588812170511,0.9387965234221433,0.8929979618820596,0.8564400046864491,0.7115198824596792,0.9739102423590141,0.6710878246193219,0.9331744196528103,0.9906892000325953,0.9714345024258144,0.9246067205651173,0.9329183129259693
NDM_B2_08,0.9013499727075688,0.9892510778998335,0.9926800099575537,0.9129134251555443,0.981024875448783,0.9985651817045593,0.9544637149661429,1.0,0.9948216926644735,0.9948088894495305,0.9850495264163875,0.9688622524776384,0.8642096569828368,0.9945120224210953,0.8333299206670413,0.9919968827846132,0.9697449903578073,0.9964221422983174,0.9879880369197694,0.9873342736094048
NDM_B2_09,0.9324824955598264,0.978308361889062,0.9946641589615197,0.9427100995205471,0.9893075642195825,0.9940588369263301,0.931588812170511,0.9948216926644735,1.0,0.9914023753562082,0.9893187937360264,0.9827464553020977,0.9027658572112697,0.9822611887499746,0.8757676041406861,0.9884700721952393,0.9467606819844586,0.9878009636231074,0.993767789464672,0.9814295623250384
NDM_B2_10,0.8999655078531946,0.9890749553706824,0.9933334334799079,0.9104534496083949,0.982364836069711,0.9969658231616243,0.9387965234221433,0.9948088894495305,0.9914023753562082,1.0,0.9885653280764605,0.9727908883612313,0.8569981463958684,0.9911383903826065,0.8252096485127474,0.9974635307404071,0.9638633003060454,0.9918774862953986,0.9760138983357745,0.9949936347873302
