analysis_type,analysis_label,direction,pathway_library,pathway,candidate_gene,row_position,Gene.name,Accession,candidate_origin,log2FC,t_statistic,p_value,q_value
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Box C/D snoRNP Assembly (GO:0000492),ZNHIT3,1397,ZNHIT3,Q15649,Level 1,1.0706349285104366,4.468898877581645,0.0002966765825728,0.0364355927972312
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Organic Substance (GO:0071310),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,DNA-templated Transcription (GO:0006351),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,DNA-templated Transcription Termination (GO:0006353),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Endoderm Formation (GO:0001706),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Golgi Organization (GO:0007030),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Golgi Ribbon Formation (GO:0090161),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway (GO:0060396),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397),STAT5B,1953,STAT5B,P51692,Level 1,1.075145403737274,5.406154307033573,3.887814536026519e-05,0.0110929915834416
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Histone Arginine Methylation (GO:0034969),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Histone Methylation (GO:0016571),PRMT5,1942,PRMT5,O14744,Level 1,1.2524197773700685,4.569500728442959,0.0002376712892789,0.03335886310236
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Maturation Of LSU-rRNA (GO:0000470),ZNHIT3,1397,ZNHIT3,Q15649,Level 1,1.0706349285104366,4.468898877581645,0.0002966765825728,0.0364355927972312
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",ZNHIT3,1397,ZNHIT3,Q15649,Level 1,1.0706349285104366,4.468898877581645,0.0002966765825728,0.0364355927972312
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),DCTN6,49,DCTN6,O00399,Level 2,0.9997194439326442,4.359387970664949,0.0003779481084662,0.0436863548903654
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),DCTN6,49,DCTN6,O00399,Level 2,0.9997194439326442,4.359387970664949,0.0003779481084662,0.0436863548903654
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Coagulation (GO:0050819),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Fibrinolysis (GO:0051918),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Negative Regulation Of Hemostasis (GO:1900047),VTN,1943,VTN,P04004,Level 2,0.7528888130252227,4.646312120043788,0.000200748631853,0.0303439278147051
