analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,Level1_count,Level2_count,Level3_count,Level4_count,Level5_count,strongest_candidate_origin,pathway_priority
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Immune System R-HSA-168256,3.37918667527432e-06,0.0005034988146158737,25,1943,25/1943,96,0.2604166666666667,DCTN6;C1S;ROCK1;GMFG;DCTN3;F13A1;C8A;VTN;C5;HMOX1;OSTF1;STAT5B;KRT1;MSN;PDAP1;PPBP;UBAC1;RBX1;BST2;BST1;CENPE;PSMC6;CFHR2;LCN2;CFB,1,1,0,18,5,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Disease R-HSA-1643685,0.0014014359800264,0.0300857866495056,18,1736,18/1736,96,0.1875,STAT5B;SPON1;CPSF6;ROCK1;RPL12;ERLIN1;MSN;THBS1;CP;RBX1;GYS1;PSMC6;RPS29;PRDX1;CHMP4B;HMOX1;RPL27;KLKB1,1,0,0,10,7,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Signaling By PDGF R-HSA-186797,0.0019974552526144,0.0355731215109573,3,52,3/52,96,0.03125,STAT5B;PLG;THBS1,1,0,0,2,0,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Prolactin Receptor Signaling R-HSA-1170546,0.0022985611577693,0.0380539569452923,2,15,2/15,96,0.020833333333333332,STAT5B;RBX1,1,0,0,1,0,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,0.0029586481540932,0.0472327044599882,2,17,2/17,96,0.020833333333333332,STAT5B;CPSF6,1,0,0,1,0,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Signaling By Interleukins R-HSA-449147,0.0061721303169079,0.0739420484638972,7,453,7/453,96,0.07291666666666667,STAT5B;PSMC6;LCN2;F13A1;HMOX1;MSN;RBX1,1,0,0,4,2,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,0.009087823485852,0.0832740309398922,2,30,2/30,96,0.020833333333333332,STAT5B;CPSF6,1,0,0,1,0,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,0.0129188360685873,0.0932079427787503,2,36,2/36,96,0.020833333333333332,STAT5B;CPSF6,1,0,0,1,0,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,0.0196180833696689,0.1069424788566099,8,702,8/702,96,0.08333333333333333,BST2;STAT5B;PSMC6;LCN2;F13A1;HMOX1;MSN;RBX1,1,0,0,5,2,Level 1,Priority 1
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,STAT5 Activation R-HSA-9645135,0.033124714124782,0.1410166401312149,1,7,1/7,96,0.010416666666666666,STAT5B,1,0,0,0,0,Level 1,Priority 1
