analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Box C/D snoRNP Assembly (GO:0000492),0.0032620856432475846,0.029219282374811723,1,8,1/8,6,0.16666666666666666,ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),0.043689222907723715,0.05755221886463016,1,109,1/109,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),0.11935267497580923,0.12465723830806741,1,308,1/308,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364),0.010974015229362423,0.029219282374811723,1,27,1/27,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),0.061643317603202394,0.07153668956421019,1,155,1/155,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),0.037773103504928095,0.05072388184947487,1,94,1/94,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cellular Response To Organic Substance (GO:0071310),0.03301827691865197,0.04774950815928131,1,82,1/82,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),0.10045456587411679,0.1097991766531044,1,257,1/257,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,DNA-templated Transcription (GO:0006351),0.07855308178835191,0.0879046391441081,1,199,1/199,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,DNA-templated Transcription Termination (GO:0006353),0.006515298792229137,0.029219282374811723,1,16,1/16,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Endoderm Formation (GO:0001706),0.014206233562346123,0.029219282374811723,1,35,1/35,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),0.01259122652624839,0.029219282374811723,1,31,1/31,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Golgi Organization (GO:0007030),0.05192084151120887,0.06338388444225498,1,130,1/130,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Golgi Ribbon Formation (GO:0090161),0.0032620856432475846,0.029219282374811723,1,8,1/8,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway (GO:0060396),0.006921327550981715,0.029219282374811723,1,17,1/17,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397),0.0028548105488495658,0.029219282374811723,1,7,1/7,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Histone Arginine Methylation (GO:0034969),0.0020398443109517243,0.029219282374811723,1,5,1/5,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Histone Methylation (GO:0016571),0.003669222104963189,0.029219282374811723,1,9,1/9,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,Maturation Of LSU-rRNA (GO:0000470),0.008138584218926503,0.029219282374811723,1,20,1/20,6,0.16666666666666666,ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.005702826244425048,0.029219282374811723,1,14,1/14,6,0.16666666666666666,ZNHIT3
