analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,candidate_gene_count,candidate_genes_reconstructed,cluster_id,cluster_size,is_singleton_cluster,is_representative
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,CD40 Signaling Pathway (GO:0023035),0.0013064481687192,0.0456790270420036,2,8,2/8,139,0.014388489208633,ITGB1;PHB2,2,ITGB1;PHB2,C001,1,True,True
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Fatty Acid Beta-Oxidation Using acyl-CoA Dehydrogenase (GO:0033539),3.803793344412712e-05,0.0031032614034833,3,10,3/10,139,0.0215827338129496,ETFDH;ETFB;ACADS,3,ACADS;ETFB;ETFDH,C002,3,False,True
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Electron Transport Chain (GO:0022900),0.0001130526307185,0.0069174078420931,3,14,3/14,139,0.0215827338129496,ETFDH;ETFB;SDHA,3,ETFB;ETFDH;SDHA,C002,3,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Respiratory Electron Transport Chain (GO:0022904),0.0001130526307185,0.0069174078420931,3,14,3/14,139,0.0215827338129496,ETFDH;ETFB;SDHA,3,ETFB;ETFDH;SDHA,C002,3,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Formation Of Cytoplasmic Translation Initiation Complex (GO:0001732),2.11866101354908e-06,0.000259271141533,4,14,4/14,139,0.0287769784172661,EIF6;EIF3I;EIF3E;EIF3D,4,EIF3D;EIF3E;EIF3I;EIF6,C003,10,False,True
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,Cytoplasmic Translational Initiation (GO:0002183),5.320637647806756e-05,0.0040068494286175,4,30,4/30,139,0.0287769784172661,EIF6;EIF3I;EIF3E;EIF3D,4,EIF3D;EIF3E;EIF3I;EIF6,C003,10,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,KEGG_2021_Human,RNA transport,0.0019298425895555,0.0115048308223502,6,186,6/186,139,0.0431654676258992,SEC13;EIF3I;EIF3E;RANGAP1;EIF4E2;EIF3D,6,EIF3D;EIF3E;EIF3I;EIF4E2;RANGAP1;SEC13,C003,10,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",0.0004015254683124,0.0126982429353811,4,50,4/50,139,0.0287769784172661,EIF3I;EIF3E;RPS2;EIF3D,4,EIF3D;EIF3E;EIF3I;RPS2,C003,10,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",0.0007086415372534,0.0170748865642984,4,58,4/58,139,0.0287769784172661,EIF3I;EIF3E;RPS2;EIF3D,4,EIF3D;EIF3E;EIF3I;RPS2,C003,10,False,False
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Ribosomal Scanning And Start Codon Recognition R-HSA-72702,0.000663315428248,0.0170748865642984,4,57,4/57,139,0.0287769784172661,EIF3I;EIF3E;RPS2;EIF3D,4,EIF3D;EIF3E;EIF3I;RPS2,C003,10,False,False
