analysis_type,direction,pathway_library,pathway,enrichment_adjusted_p_value,candidate_gene_count,candidate_genes_reconstructed
primary_fdr,increased,GO_Biological_Process_2023,Box C/D snoRNP Assembly (GO:0000492),0.0292192823748117,1,ZNHIT3
primary_fdr,increased,GO_Biological_Process_2023,Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Cellular Response To Organic Substance (GO:0071310),0.0477495081592813,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,DNA-templated Transcription Termination (GO:0006353),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Endoderm Formation (GO:0001706),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Golgi Ribbon Formation (GO:0090161),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway (GO:0060396),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Histone Arginine Methylation (GO:0034969),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Histone Methylation (GO:0016571),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Maturation Of LSU-rRNA (GO:0000470),0.0292192823748117,1,ZNHIT3
primary_fdr,increased,GO_Biological_Process_2023,"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",0.0292192823748117,1,ZNHIT3
primary_fdr,increased,GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),0.0379920377873991,1,DCTN6
primary_fdr,increased,GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),0.0487216458364432,1,DCTN6
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Coagulation (GO:0050819),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.0410642304468434,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Fibrinolysis (GO:0051918),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Hemostasis (GO:1900047),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),0.0379920377873991,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Negative Regulation Of Wound Healing (GO:0061045),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Peptidyl-Arginine Modification (GO:0018195),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Blood Coagulation (GO:0030194),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),0.0474871825116651,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),0.0379920377873991,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of RNA Splicing (GO:0033120),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),0.0315074342287049,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030949),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of Wound Healing (GO:0090303),0.0298991813754517,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Positive Regulation Of mRNA Processing (GO:0050685),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Protein Methylation (GO:0006479),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,RNA Biosynthetic Process (GO:0032774),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Receptor Signaling Pathway Via JAK-STAT (GO:0007259),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Receptor Signaling Pathway Via STAT (GO:0097696),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Blood Coagulation (GO:0030193),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Developmental Growth (GO:0048638),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Endopeptidase Activity (GO:0052548),0.0422168184299069,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Fibrinolysis (GO:0051917),0.0292192823748117,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Mitotic Nuclear Division (GO:0007088),0.0379920377873991,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Multicellular Organism Growth (GO:0040014),0.0292192823748117,1,STAT5B
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Nuclear Division (GO:0051783),0.0292192823748117,1,PRMT5
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Receptor-Mediated Endocytosis (GO:0048259),0.0297397928346572,1,VTN
primary_fdr,increased,GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),0.0331403147215448,1,PRMT5
