sample,PC1,PC2,disease,batch
Abundance.NDM_B1_1,-54827228342.59492,19371145655.02962,NDM,B1
Abundance.NDM_B1_2,-4954778.426010958,-43095864810.56222,NDM,B1
Abundance.NDM_B1_3,16358192411.33443,29721735272.229603,NDM,B1
Abundance.NDM_B1_4,-57193925839.26951,-7847454744.427938,NDM,B1
Abundance.NDM_B1_5,10454871229.368763,53825965519.8669,NDM,B1
Abundance.NDM_B2_6,33343298863.61689,17930729752.823544,NDM,B2
Abundance.NDM_B2_7,69036460051.26344,-19770224516.583897,NDM,B2
Abundance.NDM_B2_8,22890767036.66469,8474792425.469537,NDM,B2
Abundance.NDM_B2_9,-9478003510.3513,-13834921024.646128,NDM,B2
Abundance.NDM_B2_10,-560531851.7239753,-18692071235.086613,NDM,B2
Abundance.DM_B1_11,3483602323.6087317,25272568350.82497,DM,B1
Abundance.DM_B1_12,-25716316112.047005,3937130488.9678307,DM,B1
Abundance.DM_B1_13,-71446290120.84737,-16444871389.255947,DM,B1
Abundance.DM_B1_14,38295015848.89659,-1030002274.8931143,DM,B1
Abundance.DM_B1_15,-76372065268.9308,3217099536.015564,DM,B1
Abundance.DM_B2_16,3546540988.3376856,-13729296145.398935,DM,B2
Abundance.DM_B2_17,67321292201.97532,-12259749348.246145,DM,B2
Abundance.DM_B2_18,29165978427.477077,-3559315144.9321237,DM,B2
Abundance.DM_B2_19,3342895202.4515147,15638748657.835789,DM,B2
Abundance.DM_B2_20,-1639598760.8044114,-27126145025.0303,DM,B2
