sample,count,median,mean,standard_deviation,minimum,maximum,percentage_missing
Abundance.NDM_B1_1,1965,7826429.19632054,219711112.24253225,3533225005.1253543,1074.79094023234,140054738723.602,0.0
Abundance.NDM_B1_2,1965,8424518.30793916,218519916.4750635,2882641749.053563,8211.78320426214,75795633625.153,0.0
Abundance.NDM_B1_3,1965,7154113.90430886,268561937.5121265,4366467528.622136,2508.96018509776,135642999654.723,0.0
Abundance.NDM_B1_4,1965,8242443.85322268,200097955.1827482,2926580181.164714,16820.8575165756,114098873943.845,0.0
Abundance.NDM_B1_5,1965,6658875.7040252,282499169.4780932,4764731141.68946,2793.28919821267,159222526032.739,0.0
Abundance.NDM_B2_6,1965,8956279.58675457,288776589.6671171,4401548182.570538,22322.9978578074,123386104882.584,0.0
Abundance.NDM_B2_7,1965,9854381.0521878,285799153.8247044,4489409381.370348,18850.1271780035,146650375712.257,0.0
Abundance.NDM_B2_8,1965,9698036.27768079,270274217.3935414,4087793641.5052524,14459.1677467024,117649012785.997,0.0
Abundance.NDM_B2_9,1965,10817698.9286677,234762214.32555667,3264335115.7325425,24759.3506272635,101611649308.238,0.0
Abundance.NDM_B2_10,1965,11417805.8884607,229637067.94268906,3272592385.39376,9114.05049821851,91463820898.4514,0.0
Abundance.DM_B1_11,1965,6788590.67898057,250122657.50400937,4119989841.6571,1527.14926993963,131141924295.202,0.0
Abundance.DM_B1_12,1965,6709205.78416429,227027883.48780808,3412221456.1906295,33720.8164978712,117718748478.204,0.0
Abundance.DM_B1_13,1965,6602408.78579734,167363922.74612382,2708028261.7249885,21810.6271164855,111833574216.447,0.0
Abundance.DM_B1_14,1965,10036156.6327198,273847278.52381665,4151614744.5903244,12371.3986998317,106790393905.93,0.0
Abundance.DM_B1_15,1965,8627816.78154874,190048748.4434348,3158377318.783522,15584.3665404366,133224916994.091,0.0
Abundance.DM_B2_16,1965,9489815.99231858,249430812.64103693,3433778318.79289,44667.6389898334,94671474295.5326,0.0
Abundance.DM_B2_17,1965,9717124.61992797,290442883.91911644,4482077957.118342,126215.378951965,130719423745.498,0.0
Abundance.DM_B2_18,1965,9958257.95340795,273891994.8675996,3991277384.6535025,20093.7239951566,105620464373.464,0.0
Abundance.DM_B2_19,1965,9659492.17308736,270418951.757863,4023600149.8690815,100481.303885389,132748296635.92,0.0
Abundance.DM_B2_20,1965,9606637.5023084,236091691.8519675,3127962993.1425676,56460.9043177031,89501761957.5254,0.0
