,median_correlation_to_other_samples
Abundance.NDM_B1_1,0.9013499727075688
Abundance.NDM_B1_2,0.9739184279891148
Abundance.NDM_B1_3,0.9841951179733389
Abundance.NDM_B1_4,0.9129134251555443
Abundance.NDM_B1_5,0.971205755215995
Abundance.NDM_B2_6,0.9856202213384517
Abundance.NDM_B2_7,0.931588812170511
Abundance.NDM_B2_8,0.9873342736094048
Abundance.NDM_B2_9,0.9827464553020977
Abundance.NDM_B2_10,0.9885653280764605
Abundance.DM_B1_11,0.980464601517366
Abundance.DM_B1_12,0.9688622524776384
Abundance.DM_B1_13,0.8642096569828368
Abundance.DM_B1_14,0.9798533343128303
Abundance.DM_B1_15,0.8333299206670413
Abundance.DM_B2_16,0.9874817080405172
Abundance.DM_B2_17,0.9467606819844586
Abundance.DM_B2_18,0.9831638674957547
Abundance.DM_B2_19,0.9728346145061236
Abundance.DM_B2_20,0.9814295623250384
