sample,observed_count,missing_count,missing_percent
Abundance.NDM_B1_1,1965,0,0.0
Abundance.NDM_B1_2,1965,0,0.0
Abundance.NDM_B1_3,1965,0,0.0
Abundance.NDM_B1_4,1965,0,0.0
Abundance.NDM_B1_5,1965,0,0.0
Abundance.NDM_B2_6,1965,0,0.0
Abundance.NDM_B2_7,1965,0,0.0
Abundance.NDM_B2_8,1965,0,0.0
Abundance.NDM_B2_9,1965,0,0.0
Abundance.NDM_B2_10,1965,0,0.0
Abundance.DM_B1_11,1965,0,0.0
Abundance.DM_B1_12,1965,0,0.0
Abundance.DM_B1_13,1965,0,0.0
Abundance.DM_B1_14,1965,0,0.0
Abundance.DM_B1_15,1965,0,0.0
Abundance.DM_B2_16,1965,0,0.0
Abundance.DM_B2_17,1965,0,0.0
Abundance.DM_B2_18,1965,0,0.0
Abundance.DM_B2_19,1965,0,0.0
Abundance.DM_B2_20,1965,0,0.0
