sample,missing_percent,median_correlation_to_others,robust_pca_distance,high_missingness_flag,low_correlation_flag,high_pca_distance_flag,number_of_flags,potential_outlier
Abundance.NDM_B1_1,0.0,0.9013499727075688,1.9831030319668184,False,True,False,1,False
Abundance.NDM_B1_2,0.0,0.9739184279891148,1.804685683488116,False,False,False,0,False
Abundance.NDM_B1_3,0.0,0.9841951179733389,1.4656283683281146,False,False,False,0,False
Abundance.NDM_B1_4,0.0,0.9129134251555443,1.8241761036837878,False,True,False,1,False
Abundance.NDM_B1_5,0.0,0.971205755215995,2.487200498524769,False,False,False,0,False
Abundance.NDM_B2_6,0.0,0.9856202213384517,1.2627748617129053,False,False,False,0,False
Abundance.NDM_B2_7,0.0,0.931588812170511,2.1038756344922267,False,True,False,1,False
Abundance.NDM_B2_8,0.0,0.9873342736094048,0.7507659270933588,False,False,False,0,False
Abundance.NDM_B2_9,0.0,0.9827464553020977,0.6383923614746106,False,False,False,0,False
Abundance.NDM_B2_10,0.0,0.9885653280764605,0.7337538470861071,False,False,False,0,False
Abundance.DM_B1_11,0.0,0.980464601517366,1.2173857802846817,False,False,False,0,False
Abundance.DM_B1_12,0.0,0.9688622524776384,0.9113386960861908,False,False,False,0,False
Abundance.DM_B1_13,0.0,0.8642096569828368,2.318495249750784,False,True,False,1,False
Abundance.DM_B1_14,0.0,0.9798533343128303,1.0418526864889444,False,False,False,0,False
Abundance.DM_B1_15,0.0,0.8333299206670413,2.3920268517506504,False,True,False,1,False
Abundance.DM_B2_16,0.0,0.9874817080405172,0.5049755531536835,False,False,False,0,False
Abundance.DM_B2_17,0.0,0.9467606819844586,1.9562089223091665,False,False,False,0,False
Abundance.DM_B2_18,0.0,0.9831638674957547,0.7701073407475035,False,False,False,0,False
Abundance.DM_B2_19,0.0,0.9728346145061236,0.7919519534736478,False,False,False,0,False
Abundance.DM_B2_20,0.0,0.9814295623250384,1.106879211515542,False,False,False,0,False
